步骤,符号栈,输入栈,判断
1,S # ,int IDN ( ) { int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：S->func
2,func # ,int IDN ( ) { int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：func->typeIDN(args)func_body
3,type IDN ( args ) func_body # ,int IDN ( ) { int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：type->int
4,int IDN ( args ) func_body # ,int IDN ( ) { int IDN = INT ; int IDN = IDN + INT ; } # ,匹配!
5,IDN ( args ) func_body # ,IDN ( ) { int IDN = INT ; int IDN = IDN + INT ; } # ,匹配!
6,( args ) func_body # ,( ) { int IDN = INT ; int IDN = IDN + INT ; } # ,匹配!
7,args ) func_body # ,) { int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：args->$
8,) func_body # ,) { int IDN = INT ; int IDN = IDN + INT ; } # ,匹配!
9,func_body # ,{ int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：func_body->block
10,block # ,{ int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：block->{stmts}
11,{ stmts } # ,{ int IDN = INT ; int IDN = IDN + INT ; } # ,匹配!
12,stmts } # ,int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：stmts->stmtstmts
13,stmt stmts } # ,int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：stmt->typeassign_stmt
14,type assign_stmt stmts } # ,int IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：type->int
15,int assign_stmt stmts } # ,int IDN = INT ; int IDN = IDN + INT ; } # ,匹配!
16,assign_stmt stmts } # ,IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：assign_stmt->expression;
17,expression ; stmts } # ,IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：expression->valueoperation
18,value operation ; stmts } # ,IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：value->itemvalue'
19,item value' operation ; stmts } # ,IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：item->factoritem'
20,factor item' value' operation ; stmts } # ,IDN = INT ; int IDN = IDN + INT ; } # ,所用推出式：factor->IDNcall_func
21,IDN call_func item' value' operation ; stmts } # ,IDN = INT ; int IDN = IDN + INT ; } # ,匹配!
22,call_func item' value' operation ; stmts } # ,= INT ; int IDN = IDN + INT ; } # ,所用推出式：call_func->$
23,item' value' operation ; stmts } # ,= INT ; int IDN = IDN + INT ; } # ,所用推出式：item'->$
24,value' operation ; stmts } # ,= INT ; int IDN = IDN + INT ; } # ,所用推出式：value'->$
