Ô¤²â·ÖÎö±í,IDN,(,),int,char,float,void,string,£¬,;,{,},init,continue,break,return,while,for,if,else,&&,||,++,--,>,>=,<,<=,==,!=,=,+=,-=,*=,/=,%=,+,-,*,/,%,FLOAT,CHAR,STR,INT,
S,S->func,,,S->func,S->func,S->func,S->func,S->func,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func,,,func->typeIDN(args)func_body,func->typeIDN(args)func_body,func->typeIDN(args)func_body,func->typeIDN(args)func_body,func->typeIDN(args)func_body,func->typeIDN(args)func_body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
type,type->$,type->$,,type->int,type->char,type->float,type->void,type->string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type->$,type->$,type->$,type->$,
args,,,args->$,args->typeIDNarg,args->typeIDNarg,args->typeIDNarg,args->typeIDNarg,args->typeIDNarg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_body,,,,,,,,,,func_body->;,func_body->block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg,,,arg->$,,,,,,arg->,typeIDNarg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,,,,,,,,,,,block->{stmts},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stmts,stmts->stmtstmts,stmts->stmtstmts,,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,,,,stmts->$,,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,,,,,,,,,,,,,,,,,,,,,,,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,stmts->stmtstmts,
vars,,,,,,,,,vars->,IDNinitvars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stmt,stmt->typeassign_stmt,stmt->typeassign_stmt,,stmt->typeassign_stmt,stmt->typeassign_stmt,stmt->typeassign_stmt,stmt->typeassign_stmt,stmt->typeassign_stmt,,,,,,stmt->jump_stmt,stmt->jump_stmt,stmt->jump_stmt,stmt->iteration_stmt,stmt->iteration_stmt,stmt->branch_stmt,,,,,,,,,,,,,,,,,,,,,,,stmt->typeassign_stmt,stmt->typeassign_stmt,stmt->typeassign_stmt,stmt->typeassign_stmt,
assign_stmt,assign_stmt->expression;,assign_stmt->expression;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assign_stmt->expression;,assign_stmt->expression;,assign_stmt->expression;,assign_stmt->expression;,
jump_stmt,,,,,,,,,,,,,,jump_stmt->continue;,jump_stmt->break;,jump_stmt->returnisnull_expr;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iteration_stmt,,,,,,,,,,,,,,,,,iteration_stmt->while(logical_expression)block,iteration_stmt->for(isnull_expr;isnull_expr;isnull_expr)block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch_stmt,,,,,,,,,,,,,,,,,,,branch_stmt->if(logical_expression)blockresult,,,,,,,,,,,,,,,,,,,,,,,,,,,
expression,expression->valueoperation,expression->valueoperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expression->valueoperation,expression->valueoperation,expression->valueoperation,expression->valueoperation,
isnull_expr,isnull_expr->expression,isnull_expr->expression,isnull_expr->$,,,,,,isnull_expr->$,isnull_expr->$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,isnull_expr->expression,isnull_expr->expression,isnull_expr->expression,isnull_expr->expression,
logical_expression,logical_expression->expressionbool_expression,logical_expression->expressionbool_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,logical_expression->expressionbool_expression,logical_expression->expressionbool_expression,logical_expression->expressionbool_expression,logical_expression->expressionbool_expression,
result,result->$,result->$,,result->$,result->$,result->$,result->$,result->$,,,,result->$,,result->$,result->$,result->$,result->$,result->$,result->$,result->elseblock,,,,,,,,,,,,,,,,,,,,,,result->$,result->$,result->$,result->$,
bool_expression,,,bool_expression->$,,,,,,,,,,,,,,,,,,bool_expression->lopexpressionbool_expression,bool_expression->lopexpressionbool_expression,,,,,,,,,,,,,,,,,,,,,,,,
lop,,,,,,,,,,,,,,,,,,,,,lop->&&,lop->||,,,,,,,,,,,,,,,,,,,,,,,,
value,value->itemvalue',value->itemvalue',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,value->itemvalue',value->itemvalue',value->itemvalue',value->itemvalue',
operation,,,operation->$,,,,,,operation->$,operation->$,,,,,,,,,,,operation->$,operation->$,operation->++,operation->--,operation->compare_opvalue,operation->compare_opvalue,operation->compare_opvalue,operation->compare_opvalue,operation->compare_opvalue,operation->compare_opvalue,operation->equal_opvalue,operation->equal_opvalue,operation->equal_opvalue,operation->equal_opvalue,operation->equal_opvalue,operation->equal_opvalue,,,,,,,,,,
compare_op,,,,,,,,,,,,,,,,,,,,,,,,,compare_op->>,compare_op->>=,compare_op-><,compare_op-><=,compare_op->==,compare_op->!=,,,,,,,,,,,,,,,,
equal_op,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equal_op->=,equal_op->+=,equal_op->-=,equal_op->*=,equal_op->/=,equal_op->%=,,,,,,,,,,
item,item->factoritem',item->factoritem',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,item->factoritem',item->factoritem',item->factoritem',item->factoritem',
value',,,value'->$,,,,,,value'->$,value'->$,,,,,,,,,,,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->$,value'->+itemvalue',value'->-itemvalue',,,,,,,,
